Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
The Battle at Lake Changjin: Water Gate Bridge,NC16,02/10/2022,"['War,', 'History,', 'Action,', 'Drama']",Released,Language,"$626,203,271.00",149.0
The Jack in the Box: Awakening,15,01/03/2022,['Horror'],English,-,"$195,189.00",89.0
The Hip Hop Nutcracker,PG,11/25/2022,['Music'],English,-,-,
Frank and Penelope,R,08/16/2022,"['Thriller,', 'Horror,', 'Crime']",English,-,-,112.0
Project Wolf Hunting,18,09/21/2022,"['Action,', 'Thriller,', 'Horror']",Released,Language,-,122.0
Laid-Back Camp The Movie,,07/01/2022,"['Animation,', 'Comedy']",Released,Language,"$7,283,918.00",121.0
Harry Potter and the Deathly Hallows: Part 1,12A,11/19/2010,"['Adventure,', 'Fantasy']",English,"$250,000,000.00","$954,305,868.00",146.0
Terrifier,NR,03/15/2016,"['Horror,', 'Thriller']",English,"$100,000.00",-,84.0
Wife's Mom 2,19+,01/14/2019,"['Drama,', 'Romance']",2,Released,-,68.0
The Northman,M18,07/14/2022,"['Action,', 'Adventure,', 'Fantasy']",English,"$70,000,000.00","$69,633,110.00",137.0
Crawlspace,R,03/31/2022,['Thriller'],English,-,-,90.0
Margaux,R,09/09/2022,"['Horror,', 'Science Fiction']",English,-,-,105.0
Morbius,PG13,03/31/2022,"['Action,', 'Science Fiction,', 'Fantasy']",English,"$75,000,000.00","$161,000,000.00",105.0
Alien Sniperess,,04/08/2022,"['Action,', 'Science Fiction,', 'Fantasy']",English,-,-,94.0
Slumberland,PG,11/18/2022,"['Family,', 'Fantasy,', 'Adventure,', 'Drama']",English,"$35,000,000.00",-,117.0
Overdose,M18,11/04/2022,"['Action,', 'Crime,', 'Thriller']",French,-,-,119.0
John Wick: Chapter 4,6+,03/23/2023,"['Action,', 'Thriller,', 'Crime']",Language,Budget,-,
Blade Runner 2049,R,10/05/2017,"['Science Fiction,', 'Drama']",English,"$150,000,000.00","$259,239,658.00",164.0
Take the Lead,PG-13,03/17/2006,"['Comedy,', 'Music,', 'Drama']",English,"$30,000,000.00","$65,742,992.00",108.0
John Wick: Chapter 2,M18,02/16/2017,"['Action,', 'Thriller,', 'Crime']",English,"$40,000,000.00","$171,539,887.00",122.0
Lightyear,NC16,06/16/2022,"['Animation,', 'Action,', 'Adventure,', 'Family,', 'Science Fiction']",English,"$200,000,000.00","$226,400,000.00",105.0
Shang-Chi and the Legend of the Ten Rings,PG,09/01/2021,"['Action,', 'Adventure,', 'Fantasy']",English,"$150,000,000.00","$432,243,292.00",132.0
Shrek Forever After,PG,05/16/2010,"['Comedy,', 'Adventure,', 'Fantasy,', 'Animation,', 'Family']",English,"$165,000,000.00","$752,600,867.00",93.0
Moonfall,PG13,02/03/2022,['Science Fiction'],English,"$146,000,000.00","$59,100,000.00",130.0
Sonic the Hedgehog,PG,02/20/2020,"['Action,', 'Science Fiction,', 'Comedy,', 'Family']",English,"$85,000,000.00","$306,766,470.00",99.0
"Monsters, Inc.",G,11/15/2001,"['Animation,', 'Comedy,', 'Family']",English,"$115,000,000.00","$579,707,738.00",92.0
The Exorcism of God,R,03/11/2022,['Horror'],English,"$1,500,000.00",-,98.0
The Ice Age Adventures of Buck Wild,PG,01/28/2022,"['Animation,', 'Comedy,', 'Adventure,', 'Family']",English,-,-,82.0
Last Seen Alive,R,06/03/2022,"['Action,', 'Thriller']",English,-,-,95.0
The Maze Runner,PG-13,09/17/2014,"['Action,', 'Mystery,', 'Science Fiction,', 'Thriller']",English,"$34,000,000.00","$348,319,861.00",113.0
The Seven Deadly Sins: Cursed by Light,PG-13,07/02/2021,"['Animation,', 'Fantasy']",光に呪われし者たち,Released,"$1,094,673.00",79.0
Top Gun,PG,05/16/1986,"['Action,', 'Drama']",English,"$15,000,000.00","$356,830,601.00",110.0
